                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.37,                 2.1875,                 1.1066,                0.26958,                0.11964,                 0.1162,                0.05564,                 2.4097,                 2.0101,                 1.0622,             0.00037019,             0.00037019,             0.00037019
                      2,                 2.1172,                 1.4983,                 1.0176,                0.31478,                0.13629,                0.12838,                0.06272,                 2.3171,                 1.8381,                 1.0205,              0.0007332,              0.0007332,              0.0007332
                      3,                  2.029,                 1.3506,                 1.0003,                0.47278,                  0.137,                 0.1416,                 0.0705,                 2.2604,                 1.8469,                 1.0136,              0.0010889,              0.0010889,              0.0010889
                      4,                 1.9723,                 1.2743,                0.98599,                0.31389,                0.15416,                0.16401,                 0.0807,                 2.2364,                 1.7269,                 1.0132,               0.001078,               0.001078,               0.001078
                      5,                 1.9127,                 1.1962,                0.97279,                0.32748,                0.16794,                0.18301,                 0.0889,                 2.1755,                 1.6177,                 1.0032,               0.001067,               0.001067,               0.001067
                      6,                 1.8767,                 1.1581,                 0.9664,                 0.2486,                0.23696,                 0.1879,                 0.0889,                 2.2792,                 1.5897,                 1.0348,               0.001056,               0.001056,               0.001056
