                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6001,                0.84257,                0.88227,                0.42724,                0.21634,                0.20017,                0.09876,                 2.2348,                 1.6289,                 0.9553,             0.00037019,             0.00037019,             0.00037019
                      2,                 1.6311,                0.85917,                0.88631,                0.43715,                0.22225,                0.21091,                0.10829,                 2.2315,                 1.6937,                0.95735,              0.0007332,              0.0007332,              0.0007332
                      3,                 1.6582,                 0.8757,                0.89055,                0.34682,                0.21492,                0.19505,                0.09929,                 2.1963,                 1.6486,                0.94523,              0.0010889,              0.0010889,              0.0010889
                      4,                 1.6689,                0.89147,                0.89058,                0.41604,                0.19812,                0.19016,                0.09606,                 2.2172,                  1.567,                0.94988,               0.001078,               0.001078,               0.001078
                      5,                 1.6702,                0.88574,                0.88943,                0.43001,                 0.1907,                0.19989,                0.10499,                 2.1736,                 1.6771,                0.94417,               0.001067,               0.001067,               0.001067
                      6,                 1.6652,                 0.8819,                 0.8885,                0.48129,                0.20266,                0.21518,                0.10721,                 2.2336,                 1.6831,                0.95936,               0.001056,               0.001056,               0.001056
                      7,                 1.6588,                 0.8812,                0.88852,                  0.418,                0.17366,                0.18227,                0.08909,                 2.2244,                 1.6852,                0.95472,               0.001045,               0.001045,               0.001045
                      8,                 1.6588,                 0.8792,                0.88951,                0.33131,                0.23194,                0.18373,                0.08976,                 2.1901,                 1.7707,                0.95308,               0.001034,               0.001034,               0.001034
